"Product FAQ","Produkt-FAQ"
"Product FAQ Section","Produkt-FAQ-Bereich"
"Save FAQ Entry","FAQ-Eintrag speichern"
"Delete FAQ Entry","FAQ-Eintrag löschen"
"FAQ Entry","FAQ-Eintrag"
"New FAQ Entry","Neuer FAQ-Eintrag"
"Edit FAQ Entry","FAQ-Eintrag bearbeiten"
"Add FAQ Entry","FAQ-Eintrag hinzufügen"
"Entry","Eintrag"
"ID","ID"
"Question","Frage"
"Answer","Antwort"
"Product ID","Produkt-ID"
"Position","Position"
"Published","Veröffentlicht"
"Not published","Nicht veröffentlicht"
"Updated","Aktualisiert"
"Edit","Bearbeiten"
"Delete","Löschen"
"Save","Speichern"
"Delete this FAQ entry?","Diesen FAQ-Eintrag löschen?"
"It will be removed from every product page and from the FAQ page.","Er wird von allen Produktseiten und von der FAQ-Seite entfernt."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Diesen FAQ-Eintrag löschen? Er wird von allen Produktseiten und von der FAQ-Seite entfernt."
"Unpublished entries are hidden from product pages and from the FAQ page.","Nicht veröffentlichte Einträge erscheinen weder auf Produktseiten noch auf der FAQ-Seite."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","Einfaches HTML ist erlaubt: Links, Zeilenumbrüche, fett, kursiv und Listen."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Bei 0 belassen, damit der Eintrag auf jeder Produktseite erscheint. Eine Produkt-ID eintragen, um ihn nur diesem Produkt zuzuordnen."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Kleinere Zahlen stehen weiter oben. Produktspezifische Einträge stehen immer über gemeinsamen Einträgen."
"A FAQ entry needs a question.","Ein FAQ-Eintrag braucht eine Frage."
"The FAQ entry has been saved.","Der FAQ-Eintrag wurde gespeichert."
"The FAQ entry has been deleted.","Der FAQ-Eintrag wurde gelöscht."
"The FAQ entry could not be saved: %1","Der FAQ-Eintrag konnte nicht gespeichert werden: %1"
"The FAQ entry could not be deleted: %1","Der FAQ-Eintrag konnte nicht gelöscht werden: %1"
"The FAQ entry could not be removed: %1","Der FAQ-Eintrag konnte nicht entfernt werden: %1"
"This FAQ entry no longer exists.","Diesen FAQ-Eintrag gibt es nicht mehr."
"No FAQ entry was selected.","Es wurde kein FAQ-Eintrag ausgewählt."
"No FAQ entry with ID %1.","Kein FAQ-Eintrag mit der ID %1."
"Frequently asked questions","Häufige Fragen"
"General","Allgemein"
"Enable module","Modul aktivieren"
"Turns off the product block and the FAQ page at once. Entries are kept.","Schaltet Produktblock und FAQ-Seite zugleich ab. Die Einträge bleiben erhalten."
"Where it shows","Wo es erscheint"
"Show on product pages","Auf Produktseiten anzeigen"
"Include shared entries on product pages","Gemeinsame Einträge auf Produktseiten einbeziehen"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Ein gemeinsamer Eintrag hat die Produkt-ID 0. Ausschalten, um nur die Einträge des Produkts selbst zu zeigen."
"Publish the FAQ page","FAQ-Seite veröffentlichen"
"Every published entry on one page at /faq.","Alle veröffentlichten Einträge auf einer Seite unter /faq."
"Open the first entry","Ersten Eintrag geöffnet zeigen"
"The rest start collapsed. All of them are in the HTML either way.","Die übrigen bleiben zunächst zugeklappt. Im HTML stehen ohnehin alle."
"Fall back to the default text","Auf den Standardtext zurückgreifen"
"When a store view has no text of its own, show the default store's text rather than nothing.","Hat eine Store-Ansicht keinen eigenen Text, den Text des Standard-Stores zeigen statt gar nichts."
"Heading","Überschrift"
"Shown above the entries on both the product page and the FAQ page.","Erscheint über den Einträgen, auf der Produktseite wie auf der FAQ-Seite."
