"Product FAQ","Product FAQ"
"Product FAQ Section","Product FAQ Section"
"Save FAQ Entry","Save FAQ Entry"
"Delete FAQ Entry","Delete FAQ Entry"
"FAQ Entry","FAQ Entry"
"New FAQ Entry","New FAQ Entry"
"Edit FAQ Entry","Edit FAQ Entry"
"Add FAQ Entry","Add FAQ Entry"
"Entry","Entry"
"ID","ID"
"Question","Question"
"Answer","Answer"
"Product ID","Product ID"
"Position","Position"
"Published","Published"
"Not published","Not published"
"Updated","Updated"
"Edit","Edit"
"Delete","Delete"
"Save","Save"
"Delete this FAQ entry?","Delete this FAQ entry?"
"It will be removed from every product page and from the FAQ page.","It will be removed from every product page and from the FAQ page."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Delete this FAQ entry? It will be removed from every product page and from the FAQ page."
"Unpublished entries are hidden from product pages and from the FAQ page.","Unpublished entries are hidden from product pages and from the FAQ page."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","Basic HTML is allowed: links, line breaks, bold, italic and lists."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Lower numbers appear first. Product-specific entries always sort above shared ones."
"A FAQ entry needs a question.","A FAQ entry needs a question."
"The FAQ entry has been saved.","The FAQ entry has been saved."
"The FAQ entry has been deleted.","The FAQ entry has been deleted."
"The FAQ entry could not be saved: %1","The FAQ entry could not be saved: %1"
"The FAQ entry could not be deleted: %1","The FAQ entry could not be deleted: %1"
"The FAQ entry could not be removed: %1","The FAQ entry could not be removed: %1"
"This FAQ entry no longer exists.","This FAQ entry no longer exists."
"No FAQ entry was selected.","No FAQ entry was selected."
"No FAQ entry with ID %1.","No FAQ entry with ID %1."
"Frequently asked questions","Frequently asked questions"
"General","General"
"Enable module","Enable module"
"Turns off the product block and the FAQ page at once. Entries are kept.","Turns off the product block and the FAQ page at once. Entries are kept."
"Where it shows","Where it shows"
"Show on product pages","Show on product pages"
"Include shared entries on product pages","Include shared entries on product pages"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself."
"Publish the FAQ page","Publish the FAQ page"
"Every published entry on one page at /faq.","Every published entry on one page at /faq."
"Open the first entry","Open the first entry"
"The rest start collapsed. All of them are in the HTML either way.","The rest start collapsed. All of them are in the HTML either way."
"Fall back to the default text","Fall back to the default text"
"When a store view has no text of its own, show the default store's text rather than nothing.","When a store view has no text of its own, show the default store's text rather than nothing."
"Heading","Heading"
"Shown above the entries on both the product page and the FAQ page.","Shown above the entries on both the product page and the FAQ page."
