"Product FAQ","FAQ de producto"
"Product FAQ Section","Sección de FAQ de producto"
"Save FAQ Entry","Guardar entrada de FAQ"
"Delete FAQ Entry","Eliminar entrada de FAQ"
"FAQ Entry","Entrada de FAQ"
"New FAQ Entry","Nueva entrada de FAQ"
"Edit FAQ Entry","Editar entrada de FAQ"
"Add FAQ Entry","Añadir entrada de FAQ"
"Entry","Entrada"
"ID","ID"
"Question","Pregunta"
"Answer","Respuesta"
"Product ID","ID de producto"
"Position","Posición"
"Published","Publicada"
"Not published","Sin publicar"
"Updated","Actualizada"
"Edit","Editar"
"Delete","Eliminar"
"Save","Guardar"
"Delete this FAQ entry?","¿Eliminar esta entrada de FAQ?"
"It will be removed from every product page and from the FAQ page.","Desaparecerá de todas las páginas de producto y de la página de FAQ."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","¿Eliminar esta entrada de FAQ? Desaparecerá de todas las páginas de producto y de la página de FAQ."
"Unpublished entries are hidden from product pages and from the FAQ page.","Las entradas sin publicar no aparecen en las páginas de producto ni en la de FAQ."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","Se admite HTML básico: enlaces, saltos de línea, negrita, cursiva y listas."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Deje 0 para que la entrada aparezca en todas las páginas de producto. Indique un ID de producto para asociarla solo a ese producto."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Los números más bajos van primero. Las entradas propias de un producto siempre se ordenan por encima de las compartidas."
"A FAQ entry needs a question.","Una entrada de FAQ necesita una pregunta."
"The FAQ entry has been saved.","La entrada de FAQ se ha guardado."
"The FAQ entry has been deleted.","La entrada de FAQ se ha eliminado."
"The FAQ entry could not be saved: %1","No se pudo guardar la entrada de FAQ: %1"
"The FAQ entry could not be deleted: %1","No se pudo eliminar la entrada de FAQ: %1"
"The FAQ entry could not be removed: %1","No se pudo retirar la entrada de FAQ: %1"
"This FAQ entry no longer exists.","Esta entrada de FAQ ya no existe."
"No FAQ entry was selected.","No se seleccionó ninguna entrada de FAQ."
"No FAQ entry with ID %1.","No hay ninguna entrada de FAQ con el ID %1."
"Frequently asked questions","Preguntas frecuentes"
"General","General"
"Enable module","Activar el módulo"
"Turns off the product block and the FAQ page at once. Entries are kept.","Desactiva a la vez el bloque de producto y la página de FAQ. Las entradas se conservan."
"Where it shows","Dónde se muestra"
"Show on product pages","Mostrar en las páginas de producto"
"Include shared entries on product pages","Incluir las entradas compartidas en las páginas de producto"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Una entrada compartida es la que tiene el ID de producto 0. Desactive esta opción para mostrar solo las entradas propias del producto."
"Publish the FAQ page","Publicar la página de FAQ"
"Every published entry on one page at /faq.","Todas las entradas publicadas en una sola página, en /faq."
"Open the first entry","Abrir la primera entrada"
"The rest start collapsed. All of them are in the HTML either way.","Las demás empiezan plegadas. En cualquier caso, todas están en el HTML."
"Fall back to the default text","Recurrir al texto predeterminado"
"When a store view has no text of its own, show the default store's text rather than nothing.","Cuando una vista de tienda no tiene texto propio, mostrar el de la tienda predeterminada en lugar de nada."
"Heading","Encabezado"
"Shown above the entries on both the product page and the FAQ page.","Aparece encima de las entradas, tanto en la página de producto como en la de FAQ."
