"Product FAQ","FAQ produit"
"Product FAQ Section","Section FAQ produit"
"Save FAQ Entry","Enregistrer l'entrée FAQ"
"Delete FAQ Entry","Supprimer l'entrée FAQ"
"FAQ Entry","Entrée FAQ"
"New FAQ Entry","Nouvelle entrée FAQ"
"Edit FAQ Entry","Modifier l'entrée FAQ"
"Add FAQ Entry","Ajouter une entrée FAQ"
"Entry","Entrée"
"ID","ID"
"Question","Question"
"Answer","Réponse"
"Product ID","ID produit"
"Position","Position"
"Published","Publiée"
"Not published","Non publiée"
"Updated","Mise à jour"
"Edit","Modifier"
"Delete","Supprimer"
"Save","Enregistrer"
"Delete this FAQ entry?","Supprimer cette entrée FAQ ?"
"It will be removed from every product page and from the FAQ page.","Elle disparaîtra de toutes les fiches produit et de la page FAQ."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Supprimer cette entrée FAQ ? Elle disparaîtra de toutes les fiches produit et de la page FAQ."
"Unpublished entries are hidden from product pages and from the FAQ page.","Les entrées non publiées n'apparaissent ni sur les fiches produit ni sur la page FAQ."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","Le HTML simple est autorisé : liens, sauts de ligne, gras, italique et listes."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Laissez 0 pour afficher l'entrée sur toutes les fiches produit. Indiquez un ID produit pour la rattacher à ce seul produit."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Les nombres les plus petits passent en premier. Les entrées propres à un produit se placent toujours au-dessus des entrées communes."
"A FAQ entry needs a question.","Une entrée FAQ doit comporter une question."
"The FAQ entry has been saved.","L'entrée FAQ a été enregistrée."
"The FAQ entry has been deleted.","L'entrée FAQ a été supprimée."
"The FAQ entry could not be saved: %1","L'entrée FAQ n'a pas pu être enregistrée : %1"
"The FAQ entry could not be deleted: %1","L'entrée FAQ n'a pas pu être supprimée : %1"
"The FAQ entry could not be removed: %1","L'entrée FAQ n'a pas pu être retirée : %1"
"This FAQ entry no longer exists.","Cette entrée FAQ n'existe plus."
"No FAQ entry was selected.","Aucune entrée FAQ n'a été sélectionnée."
"No FAQ entry with ID %1.","Aucune entrée FAQ portant l'ID %1."
"Frequently asked questions","Questions fréquentes"
"General","Général"
"Enable module","Activer le module"
"Turns off the product block and the FAQ page at once. Entries are kept.","Désactive d'un coup le bloc produit et la page FAQ. Les entrées sont conservées."
"Where it shows","Où cela s'affiche"
"Show on product pages","Afficher sur les fiches produit"
"Include shared entries on product pages","Inclure les entrées communes sur les fiches produit"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Une entrée commune porte l'ID produit 0. Désactivez pour n'afficher que les entrées propres au produit."
"Publish the FAQ page","Publier la page FAQ"
"Every published entry on one page at /faq.","Toutes les entrées publiées sur une seule page, à l'adresse /faq."
"Open the first entry","Ouvrir la première entrée"
"The rest start collapsed. All of them are in the HTML either way.","Les autres restent repliées. De toute façon, elles figurent toutes dans le HTML."
"Fall back to the default text","Revenir au texte par défaut"
"When a store view has no text of its own, show the default store's text rather than nothing.","Quand une vue de magasin n'a pas son propre texte, afficher celui du magasin par défaut plutôt que rien."
"Heading","Titre"
"Shown above the entries on both the product page and the FAQ page.","Affiché au-dessus des entrées, sur la fiche produit comme sur la page FAQ."
