"Product FAQ","FAQ produktu"
"Product FAQ Section","Sekcja FAQ produktu"
"Save FAQ Entry","Zapisz wpis FAQ"
"Delete FAQ Entry","Usuń wpis FAQ"
"FAQ Entry","Wpis FAQ"
"New FAQ Entry","Nowy wpis FAQ"
"Edit FAQ Entry","Edytuj wpis FAQ"
"Add FAQ Entry","Dodaj wpis FAQ"
"Entry","Wpis"
"ID","ID"
"Question","Pytanie"
"Answer","Odpowiedź"
"Product ID","ID produktu"
"Position","Pozycja"
"Published","Opublikowany"
"Not published","Nieopublikowany"
"Updated","Zaktualizowany"
"Edit","Edytuj"
"Delete","Usuń"
"Save","Zapisz"
"Delete this FAQ entry?","Usunąć ten wpis FAQ?"
"It will be removed from every product page and from the FAQ page.","Zniknie ze wszystkich stron produktów i ze strony FAQ."
"Delete this FAQ entry? It will be removed from every product page and from the FAQ page.","Usunąć ten wpis FAQ? Zniknie ze wszystkich stron produktów i ze strony FAQ."
"Unpublished entries are hidden from product pages and from the FAQ page.","Nieopublikowane wpisy nie pojawiają się ani na stronach produktów, ani na stronie FAQ."
"Basic HTML is allowed: links, line breaks, bold, italic and lists.","Dozwolony jest podstawowy HTML: odnośniki, złamania wiersza, pogrubienie, kursywa i listy."
"Leave at 0 to show this entry on every product page. Enter a product ID to attach it to that one product.","Zostaw 0, aby wpis pojawiał się na każdej stronie produktu. Podaj ID produktu, aby przypisać go tylko do niego."
"Lower numbers appear first. Product-specific entries always sort above shared ones.","Niższe liczby idą pierwsze. Wpisy przypisane do produktu zawsze znajdują się nad wpisami wspólnymi."
"A FAQ entry needs a question.","Wpis FAQ wymaga pytania."
"The FAQ entry has been saved.","Wpis FAQ został zapisany."
"The FAQ entry has been deleted.","Wpis FAQ został usunięty."
"The FAQ entry could not be saved: %1","Nie udało się zapisać wpisu FAQ: %1"
"The FAQ entry could not be deleted: %1","Nie udało się usunąć wpisu FAQ: %1"
"The FAQ entry could not be removed: %1","Nie udało się usunąć wpisu FAQ: %1"
"This FAQ entry no longer exists.","Ten wpis FAQ już nie istnieje."
"No FAQ entry was selected.","Nie wybrano żadnego wpisu FAQ."
"No FAQ entry with ID %1.","Brak wpisu FAQ o ID %1."
"Frequently asked questions","Najczęstsze pytania"
"General","Ogólne"
"Enable module","Włącz moduł"
"Turns off the product block and the FAQ page at once. Entries are kept.","Wyłącza naraz blok na stronie produktu i stronę FAQ. Wpisy pozostają."
"Where it shows","Gdzie się pojawia"
"Show on product pages","Pokazuj na stronach produktów"
"Include shared entries on product pages","Uwzględniaj wpisy wspólne na stronach produktów"
"A shared entry is one with product ID 0. Turn this off to show only entries written for the product itself.","Wpis wspólny ma ID produktu 0. Wyłącz, aby pokazywać tylko wpisy napisane dla samego produktu."
"Publish the FAQ page","Opublikuj stronę FAQ"
"Every published entry on one page at /faq.","Wszystkie opublikowane wpisy na jednej stronie pod adresem /faq."
"Open the first entry","Pokaż pierwszy wpis otwarty"
"The rest start collapsed. All of them are in the HTML either way.","Pozostałe pozostają zwinięte. I tak wszystkie są w kodzie HTML."
"Fall back to the default text","Wróć do tekstu domyślnego"
"When a store view has no text of its own, show the default store's text rather than nothing.","Gdy widok sklepu nie ma własnego tekstu, pokaż tekst sklepu domyślnego zamiast pustego miejsca."
"Heading","Nagłówek"
"Shown above the entries on both the product page and the FAQ page.","Pojawia się nad wpisami, zarówno na stronie produktu, jak i na stronie FAQ."
